Station.Code,DateTimeStamp,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,pH,F_pH,Turb,F_Turb
sfbrbwq,1/2/20 9:00, ,11.8,0,43.16,0,27.7,0,89.3,0,8.1,0,1.82,0,7.9,0,6,0
sfbrbwq,1/2/20 9:15, ,11.7,0,43.14,0,27.7,0,89.3,0,8.1,0,1.73,0,7.9,0,7,0
sfbrbwq,1/2/20 9:30, ,11.7,0,43.14,0,27.7,0,89.1,0,8.1,0,1.74,0,7.9,0,7,0
sfbrbwq,1/2/20 9:45, ,11.8,0,43.14,0,27.7,0,88.8,0,8.1,0,1.69,0,7.9,0,7,0
sfbrbwq,1/2/20 10:00, ,11.8,0,43.13,0,27.7,0,88.8,0,8.1,0,1.66,0,7.9,0,6,0
sfbrbwq,1/2/20 10:15, ,11.8,0,43.12,0,27.7,0,89.1,0,8.1,0,1.65,0,7.9,0,9,0
sfbrbwq,1/2/20 10:30, ,11.8,0,43.11,0,27.7,0,89.5,0,8.2,0,1.65,0,7.9,0,8,0
sfbrbwq,1/2/20 10:45, ,11.8,0,43.11,0,27.7,0,89.9,0,8.2,0,1.61,0,7.9,0,8,0
sfbrbwq,1/2/20 11:00, ,11.8,0,43.1,0,27.7,0,89.8,0,8.2,0,1.56,0,7.9,0,8,0
sfbrbwq,1/2/20 11:15, ,11.8,0,43.07,0,27.7,0,90.1,0,8.2,0,1.57,0,7.9,0,7,0
sfbrbwq,1/2/20 11:30, ,11.9,0,43.05,0,27.7,0,90.6,0,8.2,0,1.6,0,7.9,0,7,0
sfbrbwq,1/2/20 11:45, ,11.9,0,43.05,0,27.7,0,90.6,0,8.2,0,1.59,0,7.9,0,7,0
sfbrbwq,1/2/20 12:00, ,11.9,0,43.04,0,27.7,0,91.2,0,8.3,0,1.6,0,7.9,0,8,0
sfbrbwq,1/2/20 12:15, ,11.9,0,43.04,0,27.7,0,91.3,0,8.3,0,1.57,0,7.9,0,23,0
sfbrbwq,1/2/20 12:30, ,12,0,43.04,0,27.7,0,91.9,0,8.3,0,1.58,0,7.9,0,9,0
sfbrbwq,1/2/20 12:45, ,12,0,43.07,0,27.7,0,92.1,0,8.4,0,1.58,0,7.9,0,10,0
sfbrbwq,1/2/20 13:00, ,12,0,43.06,0,27.7,0,92,0,8.3,0,1.61,0,7.9,0,9,0
sfbrbwq,1/2/20 13:15, ,12.1,0,43.05,0,27.7,0,92.5,0,8.4,0,1.64,0,7.9,0,8,0
sfbrbwq,1/2/20 13:30, ,12.1,0,43.01,0,27.6,0,93.5,0,8.5,0,1.69,0,7.9,0,11,0
sfbrbwq,1/2/20 13:45, ,12.1,0,43,0,27.6,0,93.7,0,8.5,0,1.72,0,7.9,0,7,0
sfbrbwq,1/2/20 14:00, ,12.1,0,43.02,0,27.6,0,93.7,0,8.5,0,1.72,0,7.9,0,7,0
sfbrbwq,1/2/20 14:15, ,12.2,0,43.02,0,27.6,0,94.1,0,8.5,0,1.77,0,7.9,0,7,0
sfbrbwq,1/2/20 14:30, ,12.2,0,43.02,0,27.7,0,94,0,8.5,0,1.78,0,7.9,0,7,0
sfbrbwq,1/2/20 14:45, ,12.3,0,43.03,0,27.7,0,94.3,0,8.5,0,1.83,0,7.9,0,6,0
sfbrbwq,1/2/20 15:00, ,12.3,0,43.04,0,27.7,0,95.2,0,8.6,0,1.83,0,7.9,0,6,0
